date,weekday,open,close,high,low,openNow,openNowFake,openForward,OpenM1
2022-12-05,(週一),1.2272,1.2164,1.2344,1.2127,1.2182,1.2256,,1.2182
2022-12-06,(週二),1.2182,1.2125,1.2269,1.2111,1.2128,1.2272,,1.2128
2022-12-07,(週三),1.2128,1.2190,1.2234,1.2106,1.2200,1.2182,,1.2200
2022-12-08,(週四),1.2200,1.2232,1.2247,1.2155,1.2230,1.2128,,1.2230
2022-12-09,(週五),1.2230,1.2260,1.2323,1.2201,1.2256,1.2200,,1.2256
2022-12-12,(週一),1.2256,1.2261,1.2299,1.2204,1.2262,1.2230,,1.2262
2022-12-13,(週二),1.2262,1.2345,1.2444,1.2248,1.2356,1.2256,,1.2356
2022-12-14,(週三),1.2356,1.2415,1.2446,1.2342,1.2422,1.2262,,1.2422
2022-12-15,(週四),1.2422,1.2174,1.2427,1.2156,1.2177,1.2356,,1.2177
2022-12-16,(週五),1.2177,1.2153,1.2223,1.2119,1.2161,1.2422,,1.2161
2022-12-19,(週一),1.2161,1.2144,1.2242,1.2112,1.2148,1.2177,,1.2148
2022-12-20,(週二),1.2148,1.2162,1.2223,1.2085,1.2174,1.2161,,1.2174
2022-12-21,(週三),1.2174,1.2079,1.2192,1.2054,1.2069,1.2148,,1.2069
2022-12-22,(週四),1.2069,1.2008,1.2147,1.1959,1.2014,1.2174,,1.2014
2022-12-23,(週五),1.2014,1.2050,1.2090,1.2018,1.2063,1.2069,,1.2063
2022-12-27,(週二),1.2063,1.2010,1.2112,1.1979,1.2017,1.2014,,1.2017
2022-12-28,(週三),1.2017,1.2013,1.2126,1.2000,1.2014,1.2063,,1.2014
2022-12-29,(週四),1.2014,1.2051,1.2079,1.1984,1.2054,1.2017,,1.2054
2022-12-30,(週五),1.2054,1.2092,1.2108,1.2010,1.2050,1.2014,,1.2050
2023-01-02,(週一),1.2050,1.2043,1.2095,1.2031,1.2046,1.2054,,1.2046
2023-01-03,(週二),1.2046,1.1960,1.2085,1.1901,1.1964,1.2050,,1.1964
2023-01-04,(週三),1.1964,1.2051,1.2088,1.1957,1.2052,1.2046,,1.2052
2023-01-05,(週四),1.2052,1.1883,1.2077,1.1838,1.1890,1.1964,,1.1890
2023-01-06,(週五),1.1890,1.2094,1.2099,1.1837,1.2083,1.2052,,1.2083
2023-01-09,(週一),1.2083,1.2183,1.2210,1.2083,1.2169,1.1890,,1.2169
2023-01-10,(週二),1.2169,1.2143,1.2197,1.2106,1.2141,1.2083,,1.2141
2023-01-11,(週三),1.2141,1.2130,1.2178,1.2100,1.2139,1.2169,,1.2139
2023-01-12,(週四),1.2139,1.2189,1.2247,1.2086,1.2200,1.2141,,1.2200
2023-01-13,(週五),1.2200,1.2235,1.2249,1.2151,1.2223,1.2139,,1.2223
2023-01-16,(週一),1.2223,1.2186,1.2289,1.2166,1.2196,1.2200,,1.2196
2023-01-17,(週二),1.2196,1.2271,1.2301,1.2167,1.2272,1.2223,,1.2272
2023-01-18,(週三),1.2272,1.2343,1.2436,1.2254,1.2338,1.2196,,1.2338
2023-01-19,(週四),1.2338,1.2385,1.2397,1.2313,1.2383,1.2272,,1.2383
2023-01-20,(週五),1.2383,1.2400,1.2405,1.2335,1.2402,1.2338,,1.2402
2023-01-23,(週一),1.2402,1.2358,1.2448,1.2320,1.2375,1.2383,,1.2375
2023-01-24,(週二),1.2375,1.2319,1.2414,1.2263,1.2328,1.2402,,1.2328
2023-01-25,(週三),1.2328,1.2401,1.2404,1.2283,1.2395,1.2375,,1.2395
2023-01-26,(週四),1.2395,1.2390,1.2430,1.2345,1.2408,1.2328,,1.2408
2023-01-27,(週五),1.2408,1.2397,1.2419,1.2345,1.2389,1.2395,,1.2389
2023-01-30,(週一),1.2389,1.2340,1.2417,1.2323,1.2345,1.2408,,1.2345
2023-01-31,(週二),1.2345,1.2314,1.2371,1.2279,1.2314,1.2389,,1.2314
2023-02-01,(週三),1.2314,1.2371,1.2395,1.2272,1.2373,1.2345,,1.2373
2023-02-02,(週四),1.2373,1.2225,1.2402,1.2221,1.2223,1.2314,,1.2223
